Ideal,bio-human-gene2,ca-citeseer,co-papers-citeseer,ER-AvgDev10-100K-L2,MANN-a81,p2p-Gnutella25,rec-movielens,Wiki-Vote,yahoo-msg
1,1,1,1,1,1,1,1,1,1
2,2.95547,1.71923,1.86825,1.94069,2.13278,2.05446,2.043,1.85205,1.40129
3,4.34498,2.6477,2.75264,2.89535,3.18209,3.02872,3.11805,2.75295,2.18502
4,4.91055,3.50597,3.52688,3.59395,4.13307,3.91712,4.08213,3.62448,2.92279
5,6.34944,4.2898,4.38786,4.54732,5.3102,4.95608,5.06548,4.55847,3.77479
6,7.66619,5.30574,5.15249,5.53635,6.22358,6.11905,5.7125,5.23751,4.89887
7,8.49576,6.05979,6.23281,6.22495,7.36175,7.13382,6.75947,6.07854,5.10356
8,9.61557,7.31122,6.99734,7.15606,8.39374,8.04959,7.79222,7.01259,5.67895
9,10.8066,6.95353,7.55288,7.28662,8.72917,7.91319,8.70976,7.7225,6.39156
10,12.0005,7.60203,8.30331,8.3325,9.39829,7.9631,9.3648,8.83893,7.05087
11,13.3588,8.11156,8.44141,8.38049,10.0011,8.22715,9.9556,9.52254,7.64145
12,14.0731,8.44591,8.90061,8.8635,11.3168,8.51126,10.9379,10.4423,8.31169
13,15.1725,8.5553,9.12928,8.91954,12.1646,8.8812,11.4263,11.249,8.7237
14,16.3234,10.0853,9.47027,8.92407,13.1644,9.10255,12.0491,11.7035,9.29644
15,17.9175,9.92474,9.41279,9.13486,13.8389,9.04379,12.7349,12.1869,9.917
16,18.7594,9.66218,9.76182,9.73648,14.1653,9.4626,12.9543,12.4645,10.3921
17,20.2457,10.0697,9.87375,9.65434,14.8876,9.79586,12.646,12.374,10.8671
18,19.9612,9.93848,10.2583,9.68689,13.6471,10.2424,12.8218,12.2436,11.7207
19,20.4632,10.2391,10.305,9.93109,15.5217,10.406,13.1104,12.434,11.9882
20,21.2708,10.4083,10.6634,10.0246,15.9906,10.3959,13.4767,12.8556,12.6115
